Matrix size;Block size;Phase;Algorithm;Time(s)
1280;320;3;zor;13.510338
1280;640;3;zor;17.013732
1280;1280;3;zor;18.661493
1408;-;3;row;27.323560
1408;-;3;col;23.420535
1408;1;3;zor;46.145672
1408;2;3;zor;25.629778
1408;4;3;zor;19.892506
1408;8;3;zor;17.626569
1408;11;3;zor;16.885778
1408;16;3;zor;16.270334
1408;22;3;zor;15.914695
1408;32;3;zor;16.834451
1408;44;3;zor;15.773536
1408;64;3;zor;16.671206
1408;88;3;zor;17.871577
1408;128;3;zor;17.811919
1408;176;3;zor;17.782815
1408;352;3;zor;17.979534
1408;704;3;zor;22.606770
1408;1408;3;zor;28.372007
1536;-;3;row;40.288530
1536;-;3;col;32.658900
1536;1;3;zor;67.234799
1536;2;3;zor;36.096498
1536;3;3;zor;28.379722
1536;4;3;zor;26.773578
1536;6;3;zor;23.693852
1536;8;3;zor;23.426822
1536;12;3;zor;21.995687
1536;16;3;zor;21.455590
1536;24;3;zor;20.994671
1536;32;3;zor;22.331517
1536;48;3;zor;20.960700
1536;64;3;zor;22.079750
1536;96;3;zor;23.750220
1536;128;3;zor;23.630556
1536;192;3;zor;23.348881
1536;256;3;zor;23.194880
1536;384;3;zor;23.803607
1536;512;3;zor;27.828692
1536;768;3;zor;29.594908
1536;1536;3;zor;43.273744

Total execution time: 32430.652818 seconds

Iterations: 8
Benchmark completed.
